name;year;denom_pop_25_over;Bachelor's Degree or Higher
Westlake Village;2022;5501,21;70,35
Pico-Robertson;2022;11249,15;63,48
Monrovia;2022;27737,63;42,97
Broadway-Manchester;2022;16979,79;8,34
Sunland;2022;12806,8;32,44
Agua Dulce;2022;3307,01;26,83
Malibu;2022;5998,01;7,04
Topanga;2022;5865,08;62,89
Northeast Antelope Valley;2022;12365,99;1,11
Arleta;2022;22867,15;13,93
Van Nuys;2022;76542,49;25,18
Mar Vista;2022;26964,47;6,31
Valley Glen;2022;40080,92;33,12
Arcadia;2022;42635,91;53,55
Windsor Square;2022;4853,96;50,96
West Puente Valley;2022;12589,44;14,09
Central-Alameda;2022;26505;6,53
Arlington Heights;2022;14251,74;27,06
Harvard Heights;2022;12743,51;24,98
Harvard Park;2022;6936,83;9,67
East Hollywood;2022;47107,02;31,61
Lennox;2022;11524,38;12,23
Larchmont;2022;6574,47;49,99
Tarzana;2022;26783,58;51,13
Rolling Hills;2022;1841,09;74,35
Mid-City;2022;36474,33;36,76
Westchester;2022;28492,31;62,25
Manchester Square;2022;8570,96;19,34
Rowland Heights;2022;34203,02;37,37
Ridge Route;2022;4244,99;33,42
South San Jose Hills;2022;12432,02;1,12
Vermont-Slauson;2022;19508,7;10,13
Athens;2022;6317,23;22,71
Mount Washington;2022;11073,13;49,87
West Compton;2022;4347,02;13,35
Los Feliz;2022;26939,56;67,24
Chinatown;2022;11994,09;26,58
Century City;2022;4632,1;71,18
Florence-Firestone;2022;37654,43;6,79
University Park;2022;8258,22;36,96
Hollywood Hills West;2022;11334,95;70,57
Unincorporated Santa Monica Mountains;2022;12275,69;66,66
West Los Angeles;2022;10104,77;77,26
Hancock Park;2022;8226,47;66,83
Canoga Park;2022;42447,44;24,07
Chesterfield Square;2022;5851,62;10,79
Hidden Hills;2022;1152,17;71,26
Norwalk;2022;68318,32;20,11
North El Monte;2022;1873,15;33,75
Monterey Park;2022;45396,21;33,28
Hollywood;2022;59354,84;48,06
Fairfax;2022;10463,12;67,97
Glassell Park;2022;16793,96;39,76
Watts;2022;23628,78;5,98
La Verne;2022;22288,51;40,68
Rancho Palos Verdes;2022;29847,06;68,94
Green Meadows;2022;20760,06;8,45
Del Aire;2022;5611,62;40,79
Vermont Knolls;2022;14073,14;9,82
Castaic;2022;7412,45;42,23
Westwood;2022;24368,46;74,83
Venice;2022;26785,16;0,7
South Diamond Bar;2022;2759,4;52,23
Universal City;2022;;
Pacific Palisades;2022;15982,38;77,92
Bel-Air;2022;4534,17;72,91
East Pasadena;2022;3763,21;48,61
Cudahy;2022;13231,3;5,31
Palos Verdes Estates;2022;9445,8;7,98
Ladera Heights;2022;5060,72;60,32
Walnut Park;2022;10571,05;9,48
La Crescenta-Montrose;2022;13797,07;52,96
Gardena;2022;43144,92;26,89
Duarte;2022;16226,97;33,25
La Mirada;2022;32563,05;38,82
Maywood;2022;15040,78;8,66
Alondra Park;2022;5849,49;26,44
Beverly Grove;2022;17765,14;70,37
Vermont Vista;2022;16668,89;10,53
Lawndale;2022;21120,39;20,15
Hyde Park;2022;24753,13;21,59
Lomita;2022;14793,07;39,14
South Pasadena;2022;19095,76;71,77
Westmont;2022;21367,75;11,09
San Pasqual;2022;1470,2;7,48
West Hollywood;2022;31914,31;61,51
Artesia;2022;11565,89;28,98
Manhattan Beach;2022;24139,2;78,17
West Carson;2022;17506,57;35,03
Hermosa Beach;2022;14963,58;78,31
Carthay;2022;3728,83;6,44
Beverly Hills;2022;24821,54;65,49
El Segundo;2022;12627,8;61,27
View Park-Windsor Hills;2022;9423,12;60,62
Sierra Madre;2022;8729,98;6,47
Gramercy Park;2022;7640,02;23,24
Aggregated;2022;6884411,77;34,56
