OBJECTID;CITY;CITY_ID;CITY_TYPE;CITY_NAME;CITY_LABEL;COLOR_CODE;ABBR;CITY_NO;DESCRIPTN;URL;PHONE;OF_AREA_SM;FEAT_TYPE;COMMENT;COLOR_EGIS;POPULATION;Shape__Area;Shape__Length
47092;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;45851171875;9,93539E+14
47093;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;13153515625;5,09517E+14
47094;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3873046875;2,97181E+14
47095;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;22354296875;5,78582E+14
47096;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;91766015625;1,19682E+14
47097;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;9108203125;3,88411E+14
47098;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1013203125;4,24018E+14
47099;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;11498046875;4,4673E+14
47100;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;57708203125;9,92128E+14
47101;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;61471484375;9,3414E+13
47102;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;409375;3,0918E+14
47103;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,46408E+11;1,97358E+14
47104;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;17799609375;5,13463E+14
47105;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;7189765625;1,31411E+14
47106;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;12561328125;4,72528E+14
47107;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;34826171875;7,37845E+14
47108;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1323125;1,57779E+14
47109;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;35703515625;7,90936E+14
47110;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1586796875;5,62534E+14
47111;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1136640625;5,04596E+14
47112;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;14436328125;5,56431E+14
47113;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;84123046875;1,307E+14
47114;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;7000390625;3,85211E+14
47115;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;201984375;5,56605E+14
47116;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;112290625;1,70119E+14
47117;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1834375;5,31119E+13
47118;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3004453125;2,64393E+14
47119;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3814375;7,96475E+14
47120;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;2,25953E+11;2,12294E+13
47121;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;141353125;1,71806E+14
47122;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;5391796875;3,5708E+14
47123;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;2124609375;5,99214E+14
47124;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;27218359375;7,98546E+14
47125;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;7548046875;4,14662E+14
47126;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;9113671875;4,93526E+14
47127;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4347421875;9,34577E+14
47128;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;31682421875;7,65251E+14
47129;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;23019140625;6,80584E+14
47130;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;38828125;3,30269E+14
47131;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;116328125;4,96953E+14
47132;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1485546875;5,02111E+14
47133;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;95262109375;1,14194E+12
47134;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;512578125;8,65214E+13
47135;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;38228125;7,34954E+13
47136;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,67075E+11;1,84657E+13
47137;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;456171875;3,15552E+14
47138;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1353515625;4,89816E+14
47139;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;335125;7,96207E+14
47140;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;55962109375;3,00454E+14
47141;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;33121484375;7,40525E+14
47142;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1777609375;1,59219E+14
47143;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3,02509E+11;2,40256E+14
47144;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;14508203125;5,32594E+14
47145;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;101225;1,49584E+14
47146;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;10559375;4,38753E+14
47147;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;52671875;3,67876E+13
47148;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;2,07597E+14;1,20698E+14
47149;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,01197E+12;4,85981E+14
47153;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;6,80321E+11;4,0704E+14
47162;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,13995E+13;1,46602E+14
47163;;;City;Norwalk;Norwalk;2;;57;NRWK;www.ci.norwalk.ca.us;5629295700;9354;Land;;Pink - RGB 255,190,232;;3,67806E+14;3,36876E+14
47164;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;7,98994E+12;1,25211E+14
47165;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4405233125;1,42885E+14
47166;;;City;Diamond Bar;Diamond Bar;3;;23;DMDBR;www.ci.diamond-bar.ca.us;9098397000;14959;Land;;Purple - RGB 185,185,250;;5,62261E+12;4,07579E+14
47167;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,33715E+14;3,57879E+14
47168;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;2,46658E+11;6,02594E+14
47169;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;8,43047E+13;4,30472E+14
47170;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;7,25243E+12;1,90442E+14
47171;;;City;Pasadena;Pasadena;2;;61;PAS;www.ci.pasadena.ca.us;6267444000;2314;Land;;Pink - RGB 255,190,232;;8,76258E+11;1,04436E+14
47172;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,93339E+14;7,08749E+14
47173;;;City;Irwindale;Irwindale;4;;38;IRW;www.ci.irwindale.ca.us;6264302200;9475;Land;;Green - RGB 203,255,112;;3,64908E+13;4,84441E+13
47174;;;City;La Verne;La Verne;6;;43;LAV;www.ci.la-verne.ca.us;9095968726;8483;Land;;Brown - RGB 215,194,158;;3,22859E+14;4,25726E+14
47175;;;City;Los Angeles;Los Angeles;9;;49;LA;http://www.lacity.org;2134733231;468852;Land;;Gray - RGB 178,178,178;;1,78012E+14;6,25246E+14
47176;;;City;Claremont;Claremont;3;;17;CLAR;www.ci.claremont.ca.us;9093995460;13426;Land;;Purple - RGB 185,185,250;;5,1041E+14;5,53776E+14
47177;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4,12012E+14;1,35928E+14
47178;;;City;San Dimas;San Dimas;5;;69;SNDMS;www.cityofsandimas.com;9093946200;15358;Land;;Orange - RGB 230,190,112;;5,83716E+14;6,28709E+14
47179;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;8,48627E+14;9,47352E+14
47180;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3,00836E+13;3,09887E+13
47181;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,23332E+14;8,62597E+14
47182;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3,57906E+11;2,10268E+14
47183;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,61409E+14;6,11231E+14
47184;;;City;Hawthorne;Hawthorne;3;;32;HAW;www.cityofhawthorne.com;3103492900;607;Land;;Purple - RGB 185,185,250;;2,29328E+14;4,05074E+13
47185;;;City;Lynwood;Lynwood;4;;50;LYN;www.lynwood.ca.us;3106030220;4848;Land;;Green - RGB 203,255,112;;1,82626E+13;2,65392E+14
47186;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,89122E+11;4,00006E+14
47187;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,84916E+11;6,01059E+14
47188;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;68395078125;1,28399E+14
47189;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4,1354E+11;1,21888E+14
47190;;;City;South Gate;South Gate;2;;79;SGT;www.cityofsouthgate.org;3235639500;7321;Land;;Pink - RGB 255,190,232;;2,77381E+14;3,77186E+14
47191;;;City;Cudahy;Cudahy;6;;21;CDHY;www.cityofcudahy.com;3237735143;1211;Land;;Brown - RGB 215,194,158;;4,63869E+14;1,24086E+14
47192;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4,49092E+12;2,94173E+14
47193;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;13905525;2,54442E+14
47194;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;2,81318E+14;3,21752E+14
47195;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;34156149375;1,08831E+14
47196;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;2,07576E+13;8,6103E+14
47197;;;City;Bell Gardens;Bell Gardens;4;;9;BGDNS;www.bellgardens.org;5628067700;2397;Land;;Green - RGB 203,255,112;;9,30582E+14;1,43137E+14
47198;;;City;Inglewood;Inglewood;2;;37;ING;www.cityofinglewood.org;3104125111;9093;Land;;Pink - RGB 255,190,232;;3,43361E+14;3,3261E+14
47199;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3,35519E+14;2,6229E+14
47200;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,59983E+14;2,51475E+13
47201;;;City;Huntington Park;Huntington Park;3;;35;HPK;www.huntingtonpark.org;3235826161;2998;Land;;Purple - RGB 185,185,250;;1,13826E+13;2,44114E+13
47202;;;City;Maywood;Maywood;4;;53;MYWD;www.cityofmaywood.com;3235625700;1182;Land;;Green - RGB 203,255,112;;4,44889E+13;1,10669E+14
47203;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4,20258E+12;2,01652E+14
47204;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,53754E+12;1,78568E+14
47205;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,41572E+14;8,33186E+14
47206;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;8,6275E+13;4,91063E+14
47207;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;5,62131E+14;2,29474E+14
47209;;;City;Malibu;Malibu;5;;51;MBU;www.ci.malibu.ca.us;3104562489;19613;Land;;Orange - RGB 230,190,112;;7,48663E+14;9,25662E+14
47211;;;City;Signal Hill;Signal Hill;3;;77;SGHL;www.cityofsignalhill.org;5629897300;2136;Land;;Pink - RGB 255,190,232;;8,26689E+13;2,07339E+14
47212;;;City;Lakewood;Lakewood;3;;44;LKWD;www.lakewoodcity.org;5628669771;9544;Land;;Pink - RGB 255,190,232;;3,5582E+14;4,5634E+14
47213;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,01706E+14;1,5221E+14
47214;;;City;Long Beach;Long Beach;2;;48;LB;www.longbeach.gov;5625706555;50309;Land;;Purple - RGB 185,185,250;;1,94461E+14;2,06946E+14
47215;;;City;Carson;Carson;4;;15;CAR;ci.carson.ca.us;3108307600;1924;Land;;Green - RGB 203,255,112;;7,1274E+14;4,6937E+14
47216;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;7,4251E+12;4,25381E+14
47217;;;City;Paramount;Paramount;5;;60;PAR;www.paramountcity.com;5622202000;4664;Land;;Orange - RGB 230,190,112;;1,81676E+14;2,49859E+14
47219;;;City;Rolling Hills;Rolling Hills;2;;66;RLHS;www.rolling-hills.org;3103771521;2985;Land;;Pink - RGB 255,190,232;;1,12346E+14;1,76837E+14
47220;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,96699E+11;6,54665E+14
47221;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;62438953125;3,42794E+14
47222;;;City;Rancho Palos Verdes;Rancho Palos Verdes;3;;64;ROPV;www.palosverdes.com/rpv;3103770360;13435;Land;;Purple - RGB 185,185,250;;5,07297E+14;7,49036E+14
47223;;;City;Palos Verdes Estates;Palos Verdes Estates;2;;59;PVE;www.pvestates.org;3103780383;4767;Land;;Pink - RGB 255,190,232;;1,7968E+13;2,59951E+14
47224;;;City;Redondo Beach;Redondo Beach;2;;65;RBCH;www.redondo.org;3103721171;6349;Land;;Pink - RGB 255,190,232;;2,33911E+14;3,81497E+13
47225;;;City;Compton;Compton;3;;19;CPT;www.comptoncity.org;3106055500;10111;Land;;Pink - RGB 255,190,232;;3,80553E+14;6,54688E+14
47226;;;City;Vernon;Vernon;2;;83;VER;www.cityofvernon.org;3235838811;5096;Land;;Pink - RGB 255,190,232;;1,94619E+14;3,12501E+14
47227;;;City;Santa Monica;Santa Monica;2;;75;SMON;www.smgov.net;3104588411;8147;Land;;Pink - RGB 255,190,232;;3,21569E+14;2,42551E+14
47228;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4,16839E+12;1,59548E+14
47229;;;City;South El Monte;South El Monte;3;;78;SEL;www.ci.south-el-monte.ca.us;6265796540;2808;Land;;Purple - RGB 185,185,250;;1,07791E+13;2,28324E+14
47230;;;City;West Covina;West Covina;2;;85;WCOV;www.westcovina.org;6269398400;1615;Land;;Pink - RGB 255,190,232;;6,07821E+12;7,53209E+14
47231;;;City;El Monte;El Monte;2;;26;ELM;www.ci.el-monte.ca.us;6265802001;957;Land;;Pink - RGB 255,190,232;;3,63842E+14;3,93499E+14
47232;;;City;La Puente;La Puente;3;;42;LAPNT;www.lapuente.org;6268551500;3449;Land;;Purple - RGB 185,185,250;;1,31356E+14;3,20104E+14
47233;;;City;Pomona;Pomona;2;;63;POM;www.ci.pomona.ca.us;9096202311;22975;Land;;Pink - RGB 255,190,232;;8,69894E+14;6,01093E+14
47234;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,36101E+13;1,04115E+14
47235;;;City;Montebello;Montebello;2;;55;MTB;www.cityofmontebello.com;3238871200;8372;Land;;Pink - RGB 255,190,232;;3,16287E+13;3,66016E+14
47236;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3,17172E+13;1,11924E+14
47237;;;City;Rosemead;Rosemead;5;;68;RSMD;www.cityofrosemead.org;6265692100;4965;Land;;Orange - RGB 230,190,112;;1,95748E+12;3,47979E+14
47238;;;City;Industry;City of Industry;4;;36;IND;www.cityofindustry.org;6263332211;11948;Land;;Green - RGB 203,255,112;;4,55056E+14;1,34902E+14
